pole_id,height_id,kernel_0_mean,kernel_0_std,kernel_0_max,kernel_0_min
0,0,0.18727845,0.06250376,0.29790244,0.0
0,1,0.18290703,0.01584127,0.22533062,0.14070658
0,2,0.18952261,0.025373973,0.24012452,0.14174084
0,3,0.20118725,0.038789287,0.2609616,0.11745876
0,4,0.19665526,0.030209454,0.2500951,0.14383277
0,5,0.22723907,0.023819517,0.31927875,0.18039255
0,6,0.26354492,0.05516678,0.4162821,0.19754444
0,7,0.30690992,0.09175531,0.5106213,0.19694816
0,8,0.307624,0.094791025,0.49446285,0.12372278
0,9,0.15863794,0.070696056,0.34664857,0.0
30,0,0.2654629,0.11012038,0.46894044,0.0
30,1,0.21157354,0.08968216,0.37113804,0.102505356
30,2,0.21228275,0.06597021,0.35004616,0.1124306
30,3,0.21592091,0.04706516,0.3008291,0.13120568
30,4,0.24696052,0.051073242,0.36027917,0.13764176
30,5,0.28403243,0.045529936,0.39192113,0.20586133
30,6,0.29960233,0.051831402,0.43301433,0.20252259
30,7,0.35625762,0.05113878,0.43645993,0.26720184
30,8,0.35670182,0.07742391,0.44544193,0.17111829
30,9,0.23925456,0.13421294,0.46917027,0.0
41,0,0.20185196,0.055869684,0.28573775,0.0
41,1,0.2875478,0.045367204,0.3959083,0.19876513
41,2,0.28924757,0.05356404,0.39181572,0.20096956
41,3,0.26598686,0.03161758,0.341859,0.2011292
41,4,0.21860898,0.0419581,0.29745203,0.1385408
41,5,0.21223244,0.047329545,0.28987902,0.13248588
41,6,0.21087311,0.05441965,0.32800955,0.1073307
41,7,0.21097188,0.061716337,0.3342017,0.098686345
41,8,0.22292653,0.07009559,0.33565772,0.08365988
41,9,0.18507221,0.07012618,0.29738617,0.0
6,0,0.16050999,0.06483457,0.28736094,0.0
6,1,0.28996685,0.0647963,0.39860123,0.17488213
6,2,0.3099217,0.10611108,0.5451658,0.10390808
6,3,0.2973776,0.13907394,0.5622765,0.07039787
6,4,0.17867649,0.053107258,0.28537843,0.095675334
6,5,0.17149626,0.035681996,0.2997017,0.094897315
6,6,0.25183353,0.086484134,0.43792146,0.1384923
6,7,0.25118575,0.08318156,0.44118086,0.1416614
6,8,0.20084263,0.039138652,0.28616896,0.14034645
6,9,0.15872075,0.07155059,0.2781669,0.0
5,0,0.17024912,0.08353745,0.34463906,0.0
5,1,0.28472102,0.024116738,0.33708143,0.23988888
5,2,0.29275975,0.030789072,0.34439623,0.22460066
5,3,0.30460918,0.06872683,0.45188814,0.18578699
5,4,0.28276744,0.07786964,0.4410873,0.17038569
5,5,0.25255114,0.05211755,0.3728717,0.11829643
5,6,0.20837332,0.050135873,0.297479,0.10522634
5,7,0.21247001,0.0710855,0.36507565,0.113104045
5,8,0.20431133,0.037577044,0.320653,0.14397475
5,9,0.14928247,0.067491025,0.26478896,0.0
