,id,reflectance_band_0_0,reflectance_band_1_0,reflectance_band_2_0,reflectance_band_3_0,reflectance_band_4_0,reflectance_band_5_0,reflectance_band_6_0,reflectance_band_7_0,reflectance_band_8_0,reflectance_band_9_0,reflectance_band_10_0,reflectance_band_11_0,reflectance_band_12_0,reflectance_band_13_0,reflectance_band_14_0,reflectance_band_15_0,reflectance_band_16_0,reflectance_band_17_0,reflectance_band_18_0,reflectance_band_19_0,reflectance_band_20_0,reflectance_band_21_0,reflectance_band_22_0,reflectance_band_23_0,reflectance_band_24_0,reflectance_band_25_0,reflectance_band_26_0,reflectance_band_27_0,reflectance_band_28_0,reflectance_band_29_0,reflectance_band_30_0,reflectance_band_31_0,reflectance_band_32_0,reflectance_band_33_0,reflectance_band_34_0,reflectance_band_35_0,reflectance_band_36_0,reflectance_band_37_0,reflectance_band_38_0,reflectance_band_39_0,reflectance_band_40_0,reflectance_band_41_0,reflectance_band_42_0,reflectance_band_43_0,reflectance_band_44_0,reflectance_band_45_0,reflectance_band_46_0,reflectance_band_47_0,reflectance_band_48_0,reflectance_band_49_0,reflectance_band_50_0,reflectance_band_51_0,reflectance_band_52_0,reflectance_band_53_0,reflectance_band_54_0,reflectance_band_55_0,reflectance_band_56_0,reflectance_band_57_0,reflectance_band_58_0,reflectance_band_59_0,reflectance_band_60_0,reflectance_band_61_0,reflectance_band_62_0,reflectance_band_63_0,reflectance_band_64_0,reflectance_band_65_0,reflectance_band_66_0,reflectance_band_67_0,reflectance_band_68_0,reflectance_band_69_0,reflectance_band_70_0,reflectance_band_71_0,reflectance_band_72_0,reflectance_band_73_0,reflectance_band_74_0,reflectance_band_75_0,reflectance_band_76_0,reflectance_band_77_0,reflectance_band_78_0,reflectance_band_79_0,reflectance_band_80_0,reflectance_band_81_0,reflectance_band_82_0,reflectance_band_83_0,reflectance_band_84_0,reflectance_band_85_0,reflectance_band_86_0,reflectance_band_87_0,reflectance_band_88_0,reflectance_band_89_0,reflectance_band_90_0,reflectance_band_91_0,reflectance_band_0_1,reflectance_band_1_1,reflectance_band_2_1,reflectance_band_3_1,reflectance_band_4_1,reflectance_band_5_1,reflectance_band_6_1,reflectance_band_7_1,reflectance_band_8_1,reflectance_band_9_1,reflectance_band_10_1,reflectance_band_11_1,reflectance_band_12_1,reflectance_band_13_1,reflectance_band_14_1,reflectance_band_15_1,reflectance_band_16_1,reflectance_band_17_1,reflectance_band_18_1,reflectance_band_19_1,reflectance_band_20_1,reflectance_band_21_1,reflectance_band_22_1,reflectance_band_23_1,reflectance_band_24_1,reflectance_band_25_1,reflectance_band_26_1,reflectance_band_27_1,reflectance_band_28_1,reflectance_band_29_1,reflectance_band_30_1,reflectance_band_31_1,reflectance_band_32_1,reflectance_band_33_1,reflectance_band_34_1,reflectance_band_35_1,reflectance_band_36_1,reflectance_band_37_1,reflectance_band_38_1,reflectance_band_39_1,reflectance_band_40_1,reflectance_band_41_1,reflectance_band_42_1,reflectance_band_43_1,reflectance_band_44_1,reflectance_band_45_1,reflectance_band_46_1,reflectance_band_47_1,reflectance_band_48_1,reflectance_band_49_1,reflectance_band_50_1,reflectance_band_51_1,reflectance_band_52_1,reflectance_band_53_1,reflectance_band_54_1,reflectance_band_55_1,reflectance_band_56_1,reflectance_band_57_1,reflectance_band_58_1,reflectance_band_59_1,reflectance_band_60_1,reflectance_band_61_1,reflectance_band_62_1,reflectance_band_63_1,reflectance_band_64_1,reflectance_band_65_1,reflectance_band_66_1,reflectance_band_67_1,reflectance_band_68_1,reflectance_band_69_1,reflectance_band_70_1,reflectance_band_71_1,reflectance_band_72_1,reflectance_band_73_1,reflectance_band_74_1,reflectance_band_75_1,reflectance_band_76_1,reflectance_band_77_1,reflectance_band_78_1,reflectance_band_79_1,reflectance_band_80_1,reflectance_band_81_1,reflectance_band_82_1,reflectance_band_83_1,reflectance_band_84_1,reflectance_band_85_1,reflectance_band_86_1,reflectance_band_87_1,reflectance_band_88_1,reflectance_band_89_1,reflectance_band_90_1,reflectance_band_91_1,reflectance_band_0_2,reflectance_band_1_2,reflectance_band_2_2,reflectance_band_3_2,reflectance_band_4_2,reflectance_band_5_2,reflectance_band_6_2,reflectance_band_7_2,reflectance_band_8_2,reflectance_band_9_2,reflectance_band_10_2,reflectance_band_11_2,reflectance_band_12_2,reflectance_band_13_2,reflectance_band_14_2,reflectance_band_15_2,reflectance_band_16_2,reflectance_band_17_2,reflectance_band_18_2,reflectance_band_19_2,reflectance_band_20_2,reflectance_band_21_2,reflectance_band_22_2,reflectance_band_23_2,reflectance_band_24_2,reflectance_band_25_2,reflectance_band_26_2,reflectance_band_27_2,reflectance_band_28_2,reflectance_band_29_2,reflectance_band_30_2,reflectance_band_31_2,reflectance_band_32_2,reflectance_band_33_2,reflectance_band_34_2,reflectance_band_35_2,reflectance_band_36_2,reflectance_band_37_2,reflectance_band_38_2,reflectance_band_39_2,reflectance_band_40_2,reflectance_band_41_2,reflectance_band_42_2,reflectance_band_43_2,reflectance_band_44_2,reflectance_band_45_2,reflectance_band_46_2,reflectance_band_47_2,reflectance_band_48_2,reflectance_band_49_2,reflectance_band_50_2,reflectance_band_51_2,reflectance_band_52_2,reflectance_band_53_2,reflectance_band_54_2,reflectance_band_55_2,reflectance_band_56_2,reflectance_band_57_2,reflectance_band_58_2,reflectance_band_59_2,reflectance_band_60_2,reflectance_band_61_2,reflectance_band_62_2,reflectance_band_63_2,reflectance_band_64_2,reflectance_band_65_2,reflectance_band_66_2,reflectance_band_67_2,reflectance_band_68_2,reflectance_band_69_2,reflectance_band_70_2,reflectance_band_71_2,reflectance_band_72_2,reflectance_band_73_2,reflectance_band_74_2,reflectance_band_75_2,reflectance_band_76_2,reflectance_band_77_2,reflectance_band_78_2,reflectance_band_79_2,reflectance_band_80_2,reflectance_band_81_2,reflectance_band_82_2,reflectance_band_83_2,reflectance_band_84_2,reflectance_band_85_2,reflectance_band_86_2,reflectance_band_87_2,reflectance_band_88_2,reflectance_band_89_2,reflectance_band_90_2,reflectance_band_91_2,reflectance_band_0_3,reflectance_band_1_3,reflectance_band_2_3,reflectance_band_3_3,reflectance_band_4_3,reflectance_band_5_3,reflectance_band_6_3,reflectance_band_7_3,reflectance_band_8_3,reflectance_band_9_3,reflectance_band_10_3,reflectance_band_11_3,reflectance_band_12_3,reflectance_band_13_3,reflectance_band_14_3,reflectance_band_15_3,reflectance_band_16_3,reflectance_band_17_3,reflectance_band_18_3,reflectance_band_19_3,reflectance_band_20_3,reflectance_band_21_3,reflectance_band_22_3,reflectance_band_23_3,reflectance_band_24_3,reflectance_band_25_3,reflectance_band_26_3,reflectance_band_27_3,reflectance_band_28_3,reflectance_band_29_3,reflectance_band_30_3,reflectance_band_31_3,reflectance_band_32_3,reflectance_band_33_3,reflectance_band_34_3,reflectance_band_35_3,reflectance_band_36_3,reflectance_band_37_3,reflectance_band_38_3,reflectance_band_39_3,reflectance_band_40_3,reflectance_band_41_3,reflectance_band_42_3,reflectance_band_43_3,reflectance_band_44_3,reflectance_band_45_3,reflectance_band_46_3,reflectance_band_47_3,reflectance_band_48_3,reflectance_band_49_3,reflectance_band_50_3,reflectance_band_51_3,reflectance_band_52_3,reflectance_band_53_3,reflectance_band_54_3,reflectance_band_55_3,reflectance_band_56_3,reflectance_band_57_3,reflectance_band_58_3,reflectance_band_59_3,reflectance_band_60_3,reflectance_band_61_3,reflectance_band_62_3,reflectance_band_63_3,reflectance_band_64_3,reflectance_band_65_3,reflectance_band_66_3,reflectance_band_67_3,reflectance_band_68_3,reflectance_band_69_3,reflectance_band_70_3,reflectance_band_71_3,reflectance_band_72_3,reflectance_band_73_3,reflectance_band_74_3,reflectance_band_75_3,reflectance_band_76_3,reflectance_band_77_3,reflectance_band_78_3,reflectance_band_79_3,reflectance_band_80_3,reflectance_band_81_3,reflectance_band_82_3,reflectance_band_83_3,reflectance_band_84_3,reflectance_band_85_3,reflectance_band_86_3,reflectance_band_87_3,reflectance_band_88_3,reflectance_band_89_3,reflectance_band_90_3,reflectance_band_91_3
0,0,0.075903445,0.075307325,0.074852765,0.07455005,0.07484771,0.07534359,0.07554217,0.07600841,0.07639518,0.07709311,0.078051135,0.07877233,0.07970228,0.08086043,0.08282204,0.08476751,0.08430836,0.08568044,0.08728876,0.088666946,0.09027497,0.09262791,0.09516851,0.09772999,0.09994573,0.10179399,0.10466402,0.106779754,0.10835543,0.111288555,0.112878345,0.114372306,0.11713484,0.11960764,0.121944994,0.12422068,0.12660384,0.12892412,0.1315523,0.13461119,0.13724758,0.13977635,0.14226024,0.1450266,0.14813466,0.15102342,0.15382975,0.15630278,0.15880816,0.16176012,0.16472502,0.16762894,0.17251657,0.17408842,0.176478,0.17961165,0.18264712,0.18598661,0.18921399,0.1926071,0.19597213,0.1999671,0.20368408,0.2069614,0.21057628,0.21391,0.21749768,0.221214,0.22512618,0.22890994,0.23300037,0.23705292,0.24132709,0.24578416,0.25046638,0.25547338,0.2605114,0.26492086,0.26969486,0.27406362,0.2786746,0.28432006,0.28971484,0.2943695,0.2992793,0.3040288,0.30889595,0.31357604,0.3179113,0.32288837,0.32774135,0.3321544,0.08517767,0.08410667,0.083246246,0.082558714,0.082642734,0.08283421,0.08243889,0.082236916,0.082146496,0.08234937,0.08265133,0.0829925,0.08348652,0.08428596,0.086432844,0.0882573,0.086149566,0.08659776,0.087532006,0.08813244,0.088922374,0.09027273,0.091340646,0.092214,0.09291711,0.09356616,0.09691057,0.097078875,0.09723184,0.099022664,0.09967311,0.10001814,0.10156773,0.10296667,0.10407223,0.10537343,0.10658681,0.107722804,0.109117,0.110639,0.11196116,0.11334244,0.114624284,0.116284445,0.117737636,0.11895866,0.12046258,0.121838905,0.12324391,0.12491773,0.12660608,0.128151,0.13002704,0.13155417,0.13325126,0.13514484,0.13691892,0.13889384,0.14091845,0.14301312,0.14516366,0.14750315,0.14988616,0.15219204,0.15476485,0.15731505,0.15995689,0.1626264,0.16546099,0.16844124,0.1714608,0.17470346,0.17805818,0.18161166,0.18539695,0.18926227,0.19315226,0.19704114,0.20111008,0.20502542,0.20908974,0.21340697,0.21776,0.2223743,0.22676714,0.23132654,0.23603123,0.24085242,0.2456206,0.2502439,0.25528178,0.26001203,0.09001496,0.08882205,0.08783548,0.08706537,0.08680241,0.0867318,0.08632918,0.085831225,0.08561263,0.08569712,0.08547448,0.08588423,0.08626027,0.086907476,0.08879324,0.09054782,0.08820254,0.08828759,0.089004554,0.08933549,0.089954756,0.091350175,0.092192024,0.09288809,0.093455195,0.09395207,0.09735353,0.097180314,0.09705887,0.09855461,0.099032104,0.09919135,0.10050234,0.10166407,0.10241455,0.103770934,0.10477409,0.105668314,0.10684663,0.107594036,0.108596936,0.11001721,0.11106765,0.11260726,0.11350955,0.11386213,0.115109496,0.11667276,0.11805808,0.11962566,0.12101535,0.122212306,0.12085935,0.12414566,0.12641472,0.12803093,0.12948169,0.1309678,0.13267678,0.13439567,0.13624376,0.13763621,0.13944873,0.14153983,0.14382258,0.14639089,0.14874281,0.15097009,0.15320435,0.15590863,0.15831712,0.16109748,0.16395047,0.16694683,0.17009857,0.1727373,0.17540288,0.17885578,0.18194579,0.18545632,0.18903008,0.1913938,0.19414096,0.1986048,0.20213988,0.2062225,0.21061632,0.21512197,0.21982592,0.22353348,0.22842066,0.23260304,0.11188851,0.11040889,0.10934314,0.108428895,0.10636719,0.105217576,0.10581708,0.10517946,0.105276465,0.1050636,0.10420364,0.10494482,0.10541256,0.105056666,0.10356868,0.1040986,0.10489705,0.105440505,0.10600007,0.105896674,0.10610609,0.10731638,0.10733231,0.10819135,0.109147035,0.10991174,0.109103166,0.111259416,0.11223268,0.11310683,0.11462089,0.11557206,0.116623454,0.1171233,0.11783093,0.11987041,0.12101407,0.121876515,0.12305818,0.121987954,0.12253363,0.1249457,0.12574458,0.12713516,0.12752551,0.12620518,0.12735154,0.13006859,0.13223684,0.13423231,0.13563587,0.13656445,0.12652747,0.13588528,0.14065331,0.14231902,0.14366482,0.14461732,0.14633676,0.14792588,0.14985406,0.14913663,0.15047818,0.1529979,0.1557346,0.15950535,0.16234185,0.16448514,0.16622317,0.16963902,0.1715639,0.17476875,0.17750554,0.18038915,0.1834676,0.18394777,0.18480249,0.18907292,0.19112962,0.19535959,0.19940256,0.19744045,0.19640115,0.2031537,0.20634763,0.21093556,0.21644504,0.22273245,0.23061782,0.2336926,0.24000715,0.24574715
1,30,0.17841315,0.17953616,0.18153393,0.18344735,0.18561934,0.18852825,0.19138995,0.1942198,0.19707182,0.20022996,0.20379868,0.2074697,0.21128525,0.21533968,0.2200339,0.22590116,0.2275655,0.23250258,0.23768434,0.24161452,0.24569756,0.25127542,0.25607753,0.26119778,0.26614574,0.2704461,0.27728575,0.28361905,0.28760532,0.29556635,0.3001699,0.3038567,0.31115296,0.31741437,0.32318684,0.3293187,0.3356975,0.34158078,0.34801075,0.35470438,0.36130193,0.36770123,0.37381026,0.38049594,0.38730544,0.39371645,0.40036005,0.406996,0.4132927,0.42022207,0.42709705,0.43382537,0.44105732,0.44739637,0.4534323,0.46025753,0.4666825,0.4733116,0.4797763,0.4862764,0.49267203,0.49940574,0.50594354,0.51180595,0.51814806,0.5238907,0.52984864,0.5357374,0.5416191,0.5474084,0.55333334,0.55911344,0.5649872,0.57088554,0.57642704,0.58236283,0.5878617,0.59333354,0.5983149,0.6036163,0.6082322,0.6135916,0.6188862,0.6233971,0.6279864,0.63252145,0.6370213,0.6412353,0.6453633,0.6496827,0.65351605,0.65698236,0.21367961,0.21515082,0.21768796,0.22025368,0.2189706,0.22031078,0.22595668,0.23109715,0.23556496,0.23916414,0.24284902,0.24685705,0.25064656,0.25210905,0.24649863,0.24829327,0.2627114,0.2713818,0.2766588,0.28033733,0.2825928,0.28577393,0.2887472,0.29467657,0.30110344,0.3060251,0.29455775,0.3112508,0.31987816,0.32652062,0.3323955,0.33807725,0.34526023,0.35039645,0.3564018,0.36196557,0.36827597,0.37366804,0.37952042,0.38445798,0.39026567,0.39669248,0.40147898,0.4055614,0.4130829,0.41869265,0.4244847,0.4308045,0.43678847,0.443245,0.44934717,0.4551988,0.45861104,0.46597347,0.47233674,0.47828367,0.4837618,0.48910886,0.49475816,0.50025856,0.5056847,0.51057994,0.5162024,0.52143294,0.5271122,0.532685,0.5381204,0.5434748,0.5485236,0.5539676,0.55908376,0.56426865,0.5698241,0.57487273,0.57996005,0.5845808,0.5889901,0.5938243,0.5981265,0.6030834,0.60769534,0.6114456,0.61611384,0.62018836,0.6246077,0.62894726,0.6334209,0.6375338,0.6421748,0.6460813,0.6507485,0.65470994,0.16992013,0.17088306,0.17283575,0.17479378,0.172948,0.17364913,0.17860994,0.18334407,0.18758824,0.19081347,0.19429043,0.1977418,0.20097706,0.20199044,0.19619703,0.19718549,0.21061163,0.21837069,0.2228673,0.22619142,0.22807187,0.23039307,0.23287901,0.23808606,0.24354273,0.24751428,0.23665474,0.25121158,0.25886023,0.2644778,0.26951662,0.27426136,0.28000575,0.28397444,0.2886431,0.29255763,0.297404,0.30187297,0.30710542,0.31251267,0.31846583,0.3244225,0.32926038,0.33336273,0.34078014,0.34691775,0.35241738,0.35789207,0.36311862,0.3688714,0.3745471,0.38007134,0.3859243,0.3912842,0.39612636,0.40177494,0.40701577,0.41241193,0.41774994,0.42306533,0.42825815,0.43389547,0.43928257,0.44416156,0.44941264,0.4542857,0.45923176,0.46418884,0.4690449,0.47394952,0.47900468,0.4838898,0.4889326,0.49410042,0.49908465,0.50399435,0.5088622,0.5133674,0.51786304,0.52242684,0.5265432,0.5310249,0.53589624,0.5398807,0.54401076,0.5482294,0.55245847,0.5560736,0.56037426,0.5640383,0.56812024,0.5715246,0.19337969,0.1948149,0.197247,0.19973399,0.20063578,0.20315416,0.20746526,0.21164429,0.2154484,0.21918553,0.22318192,0.22729002,0.2314373,0.23478617,0.23583184,0.24048252,0.24744552,0.25422555,0.2598035,0.26418564,0.26803786,0.27308786,0.27767575,0.2836343,0.2895802,0.2944793,0.29538155,0.30584943,0.3119975,0.320087,0.32565543,0.33026674,0.3379259,0.34423706,0.35048524,0.35651752,0.3632003,0.36919945,0.37571442,0.38251844,0.38920358,0.3957353,0.4016925,0.4077669,0.41523835,0.42203102,0.4286111,0.43515983,0.44126436,0.4480499,0.45481887,0.46139786,0.4687475,0.47494262,0.48059666,0.48714817,0.49345633,0.49995407,0.5062587,0.512515,0.5185371,0.5251637,0.53131664,0.5368401,0.5426821,0.5479374,0.5533612,0.55879617,0.5642766,0.56951576,0.5750374,0.58033806,0.58597696,0.59127253,0.5965861,0.6021359,0.6073831,0.6120332,0.61666834,0.6213481,0.62537324,0.630245,0.6351612,0.63905025,0.64351755,0.6472275,0.65129733,0.655286,0.65849674,0.66217303,0.6659716,0.6692724
2,41,0.077538244,0.07674763,0.07651127,0.07651488,0.07707783,0.07797998,0.0786191,0.07933625,0.08014335,0.08116641,0.08247502,0.08392336,0.085423596,0.08735349,0.090579785,0.09348118,0.09240781,0.093877874,0.09590002,0.09737643,0.09916637,0.101787515,0.103917,0.105777785,0.107422076,0.10874213,0.11424183,0.114940666,0.11573577,0.11910444,0.12070442,0.12177405,0.12465061,0.12731479,0.12951562,0.13208449,0.13469976,0.13730796,0.14025146,0.14347059,0.14663218,0.14979513,0.1531374,0.15712802,0.16019918,0.16345094,0.16701202,0.17063922,0.17403838,0.17776538,0.18137991,0.18485853,0.18840985,0.19191976,0.1952901,0.19904022,0.20266938,0.20648474,0.21032153,0.2142161,0.21804656,0.22206828,0.22598277,0.22964954,0.23361829,0.23744121,0.24133451,0.24521595,0.24922132,0.25324586,0.2573639,0.26144502,0.2656691,0.26990822,0.27436092,0.27873185,0.28300184,0.28722095,0.29132646,0.29546085,0.29953036,0.30388075,0.30834422,0.31268993,0.31678772,0.32078868,0.32508034,0.32914358,0.33313748,0.3373289,0.34148252,0.34536964,0.10134382,0.10093259,0.10112912,0.10139121,0.10083168,0.101397365,0.10333429,0.1052344,0.10693426,0.108453296,0.11008671,0.111889936,0.11365382,0.11486929,0.114211164,0.11582478,0.120107934,0.12363012,0.12614684,0.1279201,0.12930866,0.1312906,0.13301599,0.13573699,0.1383957,0.14033227,0.1382988,0.14415953,0.14749295,0.15121228,0.15377192,0.15624028,0.15986767,0.16275938,0.16581255,0.16877365,0.1721093,0.17513834,0.17852214,0.1819976,0.18576552,0.18958795,0.1929481,0.19625577,0.20071055,0.2047639,0.20863979,0.2125542,0.216284,0.220332,0.22430404,0.22815135,0.23209281,0.23587148,0.23950052,0.24363305,0.24759087,0.25166732,0.25580022,0.25989583,0.2639199,0.26810965,0.27228314,0.27611184,0.28024992,0.2842963,0.2883631,0.29251963,0.29686445,0.3011312,0.30560455,0.31002608,0.31454942,0.3190284,0.3237137,0.32831392,0.33282408,0.3372355,0.34151074,0.3459052,0.3500851,0.3546507,0.3595623,0.36376756,0.36806163,0.37228128,0.37646374,0.38079074,0.38507473,0.3890436,0.39348873,0.39775816,0.07264689,0.07178318,0.071448445,0.07133447,0.071336105,0.071801946,0.07243275,0.07312193,0.0737428,0.074544154,0.07550268,0.076587886,0.077730834,0.07902436,0.08077589,0.08282969,0.08291767,0.084467,0.08616477,0.08733313,0.08862755,0.090552926,0.09216961,0.09384761,0.09542276,0.09665446,0.09939373,0.10124723,0.10240741,0.10533984,0.1067945,0.10803124,0.110681966,0.11302092,0.115143746,0.117449336,0.119803,0.1220864,0.12461876,0.12728164,0.13002132,0.1327359,0.135468,0.13856426,0.14143474,0.14437191,0.14751303,0.1506348,0.1537094,0.15704946,0.16027743,0.16346034,0.166768,0.170009,0.17318003,0.17667332,0.18015018,0.18376867,0.18744633,0.1911469,0.19484568,0.19874594,0.20255631,0.20625062,0.21016233,0.21401295,0.21790259,0.22188589,0.22592731,0.2301056,0.23428147,0.2385756,0.24287072,0.24729453,0.25177497,0.25630862,0.26071045,0.26511824,0.26943442,0.2737962,0.27800414,0.2824131,0.2873125,0.29168802,0.29604328,0.30033112,0.30473328,0.3088516,0.31322375,0.3175442,0.3220015,0.32607248,0.06912784,0.06802659,0.06760945,0.067315675,0.067386284,0.06777131,0.06813533,0.068494394,0.06890047,0.06949699,0.070220694,0.071128584,0.072064295,0.07323089,0.0750877,0.07702916,0.07644328,0.07754151,0.07894713,0.07985337,0.08093134,0.08261339,0.08396598,0.085271396,0.08648711,0.08740946,0.090108454,0.0913928,0.09213986,0.0945838,0.095683485,0.09656094,0.09872985,0.10066778,0.1023735,0.10426109,0.106241964,0.10808055,0.11018956,0.1123766,0.11461426,0.1168468,0.119078904,0.12166346,0.12404392,0.12646174,0.1290467,0.13167411,0.13420781,0.13697511,0.13970363,0.14235981,0.14512698,0.14788349,0.1505436,0.15354969,0.15650219,0.15952948,0.1626481,0.16580303,0.16895494,0.17229155,0.17561144,0.17876521,0.18216668,0.18552421,0.18894859,0.19247268,0.19607846,0.19979993,0.20357724,0.2073501,0.21131647,0.21524741,0.21929537,0.22347389,0.22753608,0.23141386,0.2354144,0.23936729,0.24342829,0.24752328,0.25202075,0.25614068,0.26024407,0.26427913,0.26839855,0.2726529,0.27634352,0.28074604,0.28487664,0.2888888
3,6,0.13398619,0.13442685,0.13561681,0.13732117,0.1384578,0.1409209,0.14475544,0.14868112,0.15255748,0.15644203,0.16072977,0.1652441,0.16956608,0.17304027,0.1736856,0.17753589,0.18525958,0.19228835,0.19774605,0.20183383,0.20521219,0.20912108,0.21270508,0.21822076,0.22422467,0.22955903,0.22849996,0.24127835,0.25214016,0.26269346,0.27170697,0.28143466,0.29222298,0.3012925,0.31072676,0.31967515,0.3299777,0.3400665,0.35107183,0.36207116,0.37377954,0.38579032,0.39689636,0.40707627,0.42156097,0.4339512,0.44528657,0.45636693,0.46676508,0.47753873,0.4880383,0.49777338,0.50780284,0.51684916,0.52503246,0.53415436,0.54258084,0.5508373,0.5589102,0.5667958,0.5744668,0.582112,0.58965623,0.5961884,0.6031413,0.60934466,0.6154006,0.6213185,0.62747526,0.6328956,0.63881737,0.6443483,0.64976776,0.6551717,0.6604428,0.6658532,0.6707353,0.6758436,0.6798183,0.6845515,0.68846506,0.69261885,0.6971168,0.70060235,0.70454025,0.7075366,0.71111023,0.71425056,0.7177679,0.72056675,0.7242654,0.7268291,0.1412305,0.14121206,0.14244601,0.14406982,0.14464805,0.14681178,0.1512318,0.15591787,0.16028735,0.16458148,0.1692938,0.17411943,0.17871287,0.182188,0.18185285,0.1856349,0.19468975,0.2023192,0.20805661,0.21224695,0.21543491,0.2191319,0.22244982,0.2281819,0.23473676,0.24095345,0.24045157,0.25529605,0.26803884,0.28059402,0.29166782,0.30357847,0.31689486,0.32863644,0.34079045,0.3523158,0.3649158,0.37700456,0.3898678,0.40259594,0.4158691,0.42920238,0.4411969,0.45207012,0.46698934,0.48004332,0.49202693,0.50388443,0.51484704,0.5264032,0.5376055,0.54804677,0.5587087,0.56839645,0.57718384,0.58680016,0.59558994,0.60432476,0.61279136,0.62102735,0.6289662,0.63703305,0.6448677,0.6517276,0.6589891,0.66543704,0.671702,0.6779029,0.684183,0.6898924,0.6960077,0.70171297,0.7074721,0.7128545,0.7182737,0.7239433,0.7290987,0.7342257,0.73873156,0.743014,0.74735636,0.75178033,0.75638205,0.76003987,0.76380354,0.7670323,0.7705958,0.77407414,0.77723604,0.78009593,0.7834511,0.78667545,0.15056077,0.15156816,0.1534726,0.1558568,0.15673156,0.15921053,0.16460657,0.17009334,0.17524391,0.18012084,0.18540286,0.19084312,0.19611554,0.19982749,0.198471,0.20226508,0.21440186,0.22349669,0.23001987,0.2350931,0.23905706,0.24340622,0.24749358,0.2542274,0.2615168,0.26779127,0.26225662,0.2792669,0.29197544,0.30330226,0.31339222,0.32413685,0.33582905,0.3454889,0.3558979,0.36542347,0.37638348,0.38701686,0.39850822,0.4101496,0.42266834,0.43544745,0.44682494,0.45677587,0.4716222,0.4841897,0.4956472,0.5069362,0.5174008,0.5283512,0.5389282,0.5487905,0.558735,0.5679457,0.5760369,0.58503467,0.59311754,0.6012991,0.6091806,0.61687714,0.6241691,0.63178456,0.6391461,0.64536303,0.6520861,0.65810734,0.66393214,0.66961724,0.67547196,0.6807966,0.6863823,0.6915529,0.697066,0.7022162,0.70737475,0.7124035,0.7173451,0.72194743,0.72585744,0.73035234,0.73406106,0.73806614,0.7423541,0.74591744,0.7493321,0.75225097,0.75539243,0.7582955,0.7609353,0.7639092,0.7665379,0.7693886,0.12884888,0.12877046,0.12973814,0.13116962,0.13173121,0.13372138,0.13755082,0.14137185,0.14510916,0.14868341,0.15274201,0.15697214,0.16110277,0.1642506,0.16450402,0.16807118,0.1757287,0.18236573,0.18758905,0.19148599,0.1946515,0.19838145,0.20183793,0.20697096,0.21268155,0.2178342,0.21690291,0.22961956,0.23984197,0.25028884,0.25945523,0.26909104,0.27997917,0.28917858,0.29867205,0.30766806,0.31814098,0.32860434,0.33995217,0.3514268,0.36362743,0.37613055,0.3879942,0.39907625,0.4139416,0.426713,0.43846196,0.44994932,0.4608371,0.47192985,0.48261505,0.49261123,0.5027314,0.5119329,0.520309,0.5294356,0.53788584,0.5462971,0.5545189,0.56260103,0.57024586,0.5782057,0.5858549,0.5925254,0.5995312,0.60594606,0.61210483,0.6182569,0.6243991,0.6302486,0.6361817,0.6418808,0.6475784,0.653158,0.6585522,0.6642334,0.6694117,0.6744354,0.67904377,0.68380064,0.6879194,0.69240415,0.6973597,0.70098674,0.70515275,0.7086597,0.7122622,0.71607447,0.7191713,0.72283596,0.72625226,0.72911584
