,id,kernel_4_mean_0_degrees,kernel_4_std_0_degrees,kernel_4_mode_0_degrees,kernel_4_mean_90_degrees,kernel_4_std_90_degrees,kernel_4_mode_90_degrees,kernel_4_mean_180_degrees,kernel_4_std_180_degrees,kernel_4_mode_180_degrees,kernel_4_mean_270_degrees,kernel_4_std_270_degrees,kernel_4_mode_270_degrees
0,0,0.11185351220364233,0.07541927019992485,0.065,0.12574018858860125,0.09842813889468173,0.055,0.09443575843170067,0.07517782020156885,0.045,0.07100647835235208,0.06603725029721981,0.035
1,30,0.1592361905543524,0.10458830753636937,0.095,0.1489620424550473,0.11150257482328053,0.065,0.18761175008684663,0.11393589342140234,0.10500000000000001,0.14449190360052,0.09854031869920304,0.08499999999999999
2,41,0.11008703102827685,0.08501543278904794,0.045,0.12163738905897117,0.08648210320043419,0.065,0.19395122413143293,0.1349558400797654,0.125,0.12182709802770146,0.09119354126314513,0.055
3,6,0.14223206616399528,0.09847475908195986,0.07500000000000001,0.14697524500155595,0.09592651071458735,0.07500000000000001,0.17546039860776827,0.10314941459435546,0.135,0.18621559991597442,0.11694625503429275,0.095
4,5,0.1301865614722461,0.09112629744513723,0.07500000000000001,0.12002401823220592,0.08051050284954962,0.065,0.16170215007986313,0.11034701860558846,0.095,0.12331510911892803,0.0856645487924858,0.08499999999999999
