,id,kernel_10_mean_0_degrees,kernel_10_std_0_degrees,kernel_10_mode_0_degrees,kernel_10_mean_90_degrees,kernel_10_std_90_degrees,kernel_10_mode_90_degrees,kernel_10_mean_180_degrees,kernel_10_std_180_degrees,kernel_10_mode_180_degrees,kernel_10_mean_270_degrees,kernel_10_std_270_degrees,kernel_10_mode_270_degrees
0,0,0.0952565724338638,0.07195670865212231,0.045,0.09995978155277808,0.09475971393794576,0.045,0.10286466745020896,0.07481848740946284,0.045,0.11687854586822571,0.0878686363918366,0.055
1,30,0.1126232014830026,0.07164135227187006,0.065,0.11172045720054097,0.08248712893115345,0.045,0.12332973894010134,0.08439200956110435,0.065,0.10307042401709744,0.08430504578832379,0.065
2,41,0.08388027219538927,0.06324122001712155,0.035,0.1299307475865662,0.09039198265755836,0.07500000000000001,0.14244877893994815,0.10136271651464042,0.065,0.12549954189506732,0.09303175354094795,0.065
3,6,0.11722228646153264,0.08229347518045671,0.055,0.12317899437698977,0.08203330936121087,0.065,0.11712483551325273,0.07760470481345147,0.08499999999999999,0.166604123066525,0.10725395206017845,0.10500000000000001
4,5,0.1267975632022347,0.08851525422566398,0.065,0.14164130485811743,0.09692889986909412,0.07500000000000001,0.12849884546430126,0.08645422091422522,0.065,0.12016230483007796,0.07621207144175353,0.065
