pole_id,height_id,kernel_11_mean,kernel_11_std,kernel_11_max,kernel_11_min
0,0,0.11262619,0.061984446,0.2973872,0.0
0,1,0.09803911,0.0404472,0.18933438,0.02618638
0,2,0.12413608,0.05654626,0.26357666,0.036202062
0,3,0.13688716,0.06465598,0.28992438,0.03873492
0,4,0.10510986,0.036395688,0.2064736,0.04025199
0,5,0.119345665,0.05479469,0.259247,0.02931004
0,6,0.104866885,0.047942705,0.19661982,0.03179745
0,7,0.14270875,0.06167173,0.2496486,0.035873674
0,8,0.14479557,0.06844117,0.33098522,0.0437873
0,9,0.101660535,0.050154105,0.2598461,0.0
30,0,0.08271773,0.028813982,0.17666394,0.0
30,1,0.10191646,0.038656373,0.18344934,0.028684583
30,2,0.10561038,0.04518027,0.2377407,0.04108592
30,3,0.116352424,0.037364565,0.25005683,0.061423145
30,4,0.12421478,0.04601459,0.25590697,0.052359488
30,5,0.12729208,0.037067696,0.21740101,0.055850185
30,6,0.13310125,0.03251306,0.20341367,0.06845162
30,7,0.14719506,0.04076076,0.23847826,0.080565065
30,8,0.13942882,0.048184816,0.23344597,0.050536916
30,9,0.12682821,0.045101926,0.20641999,0.0
41,0,0.096191004,0.037032943,0.17400283,0.0
41,1,0.10078547,0.03809668,0.18557186,0.05194141
41,2,0.10922476,0.04558594,0.20607404,0.05137268
41,3,0.10038823,0.042702287,0.20332623,0.034947414
41,4,0.11638661,0.07298221,0.30552155,0.03494966
41,5,0.10432322,0.04141174,0.24323714,0.05265559
41,6,0.12310879,0.042477336,0.2207683,0.057074774
41,7,0.12538712,0.074070305,0.3318929,0.044331875
41,8,0.14167342,0.092925094,0.39250085,0.049577225
41,9,0.09918996,0.06717453,0.3483093,0.0
6,0,0.08519301,0.025189992,0.15523183,0.0
6,1,0.11997005,0.036928777,0.19320796,0.052020743
6,2,0.12877338,0.027991315,0.19924814,0.062153567
6,3,0.15131979,0.04968912,0.31538877,0.07201966
6,4,0.1889523,0.052724496,0.32504323,0.093021005
6,5,0.2201094,0.05361077,0.35844046,0.124395095
6,6,0.17455786,0.040499285,0.27572176,0.07822258
6,7,0.18242313,0.040604364,0.27106002,0.08346292
6,8,0.1437948,0.046227038,0.28168386,0.066302404
6,9,0.118215926,0.04257225,0.20642698,0.0
5,0,0.08689411,0.041135922,0.19274323,0.0
5,1,0.09973487,0.031702362,0.20572266,0.05873758
5,2,0.109520376,0.041477088,0.22726795,0.043301675
5,3,0.11999283,0.03715262,0.2341312,0.068417996
5,4,0.15373172,0.06661953,0.3247282,0.064126484
5,5,0.17567635,0.059493,0.34415907,0.093875006
5,6,0.16238792,0.048323374,0.28405216,0.08726327
5,7,0.17054592,0.052726407,0.3085371,0.08149009
5,8,0.15068886,0.063823,0.35601223,0.07511372
5,9,0.10945143,0.05804994,0.24816214,0.0
