pole_id,height_id,kernel_5_mean,kernel_5_std,kernel_5_max,kernel_5_min
0,0,0.15951163,0.055274278,0.3370679,0.0
0,1,0.16333108,0.036957994,0.24230546,0.050177883
0,2,0.20596856,0.048048448,0.30200577,0.08658395
0,3,0.21911497,0.041798793,0.3495652,0.14959589
0,4,0.15949513,0.05480341,0.27082956,0.05932296
0,5,0.15895809,0.028863333,0.21062854,0.10342632
0,6,0.14856856,0.03769045,0.23561066,0.050969057
0,7,0.17498268,0.040676054,0.33349577,0.079584636
0,8,0.19536816,0.053379323,0.34101486,0.08976533
0,9,0.13411447,0.044121176,0.2525611,0.0
30,0,0.12456022,0.054135695,0.2743057,0.0
30,1,0.14472838,0.060980268,0.28321424,0.06891304
30,2,0.13841328,0.051402513,0.27711418,0.068376124
30,3,0.15678117,0.053291883,0.29903352,0.05865753
30,4,0.17387229,0.046075124,0.29419914,0.10565617
30,5,0.16561016,0.041689336,0.28878102,0.076536044
30,6,0.1797126,0.06763741,0.38454053,0.08029589
30,7,0.17060573,0.05732431,0.33266667,0.07225592
30,8,0.16813783,0.06129162,0.3247701,0.065314725
30,9,0.15128951,0.06174535,0.2953514,0.0
41,0,0.11130761,0.03434588,0.2189259,0.0
41,1,0.1365152,0.046586193,0.28123403,0.075108595
41,2,0.14219123,0.040326037,0.22521544,0.057738505
41,3,0.13090141,0.04215918,0.22227608,0.04765839
41,4,0.11864543,0.030497588,0.1988364,0.060378216
41,5,0.13046093,0.03408854,0.20317015,0.06741565
41,6,0.1330847,0.06324805,0.30635652,0.06366546
41,7,0.12595624,0.04066103,0.23304419,0.061313156
41,8,0.13067083,0.04384887,0.2695857,0.070590444
41,9,0.094670944,0.03490441,0.17002855,0.0
6,0,0.10403759,0.03988471,0.23948863,0.0
6,1,0.12614088,0.026185377,0.1968222,0.07325824
6,2,0.15522198,0.0306951,0.23622556,0.1034926
6,3,0.17590122,0.04719487,0.3263644,0.09835116
6,4,0.20175377,0.041787118,0.33557984,0.13550034
6,5,0.21090707,0.0539983,0.3232044,0.092945255
6,6,0.18174213,0.044113062,0.31829417,0.108623505
6,7,0.16377409,0.045236662,0.25772762,0.08383597
6,8,0.14743593,0.039347127,0.2352964,0.096096225
6,9,0.09502287,0.04075124,0.17642114,0.0
5,0,0.111871794,0.07843641,0.32573867,0.0
5,1,0.10962718,0.038670026,0.18368202,0.04229925
5,2,0.116835766,0.04132929,0.17650561,0.048030585
5,3,0.13739012,0.05377881,0.24622314,0.039415117
5,4,0.16255876,0.058702633,0.27757454,0.044848092
5,5,0.1869244,0.058533933,0.31618991,0.06986544
5,6,0.16228689,0.051565416,0.3035986,0.054390468
5,7,0.15740041,0.05270152,0.30183756,0.06865545
5,8,0.13090962,0.04537174,0.22392797,0.0632825
5,9,0.09645321,0.042692553,0.20839313,0.0
