pole_id,height_id,kernel_15_mean,kernel_15_std,kernel_15_max,kernel_15_min
0,0,0.17839043,0.086579725,0.47157902,0.0
0,1,0.13582133,0.044729058,0.22312716,0.058153953
0,2,0.1301889,0.047079068,0.22153252,0.04047688
0,3,0.16222401,0.074748196,0.28387362,0.040175706
0,4,0.1642726,0.07075223,0.2937355,0.045479737
0,5,0.21462826,0.061645992,0.3129178,0.09395933
0,6,0.25042725,0.046920184,0.34692615,0.17310923
0,7,0.27005005,0.044561885,0.33695966,0.18508068
0,8,0.29136977,0.053429954,0.41654816,0.09288931
0,9,0.22272275,0.07990888,0.38571447,0.0
30,0,0.35513622,0.14467819,0.70743155,0.0
30,1,0.19337219,0.09322028,0.37396133,0.057466935
30,2,0.140486,0.08364492,0.3111914,0.057028398
30,3,0.13355942,0.056690786,0.25703636,0.044304367
30,4,0.1459935,0.032417268,0.19901042,0.07520056
30,5,0.16726652,0.052236475,0.30032957,0.1087552
30,6,0.23885822,0.059525274,0.4006602,0.13842314
30,7,0.33616337,0.067970306,0.47944576,0.22694238
30,8,0.33679077,0.10871657,0.48754522,0.078394696
30,9,0.22382301,0.09557112,0.3739211,0.0
41,0,0.16183813,0.08783714,0.39314833,0.0
41,1,0.22718377,0.06907123,0.33701658,0.09641
41,2,0.2012986,0.055845305,0.33712214,0.090356104
41,3,0.15979663,0.042549428,0.26763383,0.07172773
41,4,0.13270429,0.04810506,0.24456787,0.040749244
41,5,0.157996,0.05416726,0.2599489,0.0586548
41,6,0.16486683,0.07524257,0.33706903,0.059617992
41,7,0.18259016,0.05117714,0.27787003,0.086836845
41,8,0.20031528,0.05725115,0.27883774,0.101693235
41,9,0.25874916,0.10333788,0.45891324,0.0
6,0,0.17598781,0.07224133,0.37707067,0.0
6,1,0.43042296,0.07904434,0.5257688,0.16919401
6,2,0.4088451,0.13021176,0.6588188,0.15251319
6,3,0.3500411,0.1592456,0.67199856,0.13094707
6,4,0.16064951,0.055196565,0.2844034,0.076715834
6,5,0.18206291,0.03122979,0.26389444,0.12668243
6,6,0.23511639,0.08018943,0.37464434,0.108545214
6,7,0.2389946,0.08656018,0.39129758,0.11053522
6,8,0.19988516,0.046844,0.39952987,0.14062564
6,9,0.1950633,0.08250966,0.41116637,0.0
5,0,0.19167198,0.14426304,0.75617665,0.0
5,1,0.2827361,0.10465152,0.424707,0.07280007
5,2,0.28361836,0.11601856,0.40831685,0.055429153
5,3,0.29433286,0.14749499,0.4977577,0.047939815
5,4,0.2520233,0.13779585,0.48448253,0.046149895
5,5,0.17657696,0.06126796,0.289924,0.06819633
5,6,0.16220844,0.07513751,0.2976563,0.06101822
5,7,0.14217176,0.03863316,0.19125941,0.050755553
5,8,0.14123596,0.044140242,0.23488039,0.07545814
5,9,0.14335757,0.0828022,0.39638105,0.0
