pole_id,height_id,kernel_13_mean,kernel_13_std,kernel_13_max,kernel_13_min
0,0,0.19604827,0.07443395,0.4192047,0.0
0,1,0.15753697,0.026876451,0.20132196,0.09044277
0,2,0.16001125,0.026410285,0.20699966,0.09038463
0,3,0.18655021,0.052794985,0.27259538,0.09618727
0,4,0.19370127,0.039706893,0.2568152,0.13062505
0,5,0.22102875,0.032388207,0.27083746,0.14642397
0,6,0.26321524,0.01915167,0.31544334,0.23532057
0,7,0.3046639,0.040635068,0.40903622,0.2432325
0,8,0.33049816,0.043845657,0.41030017,0.15966138
0,9,0.18273239,0.07936344,0.32277915,0.0
30,0,0.33588883,0.15350087,0.6146561,0.0
30,1,0.23628628,0.1232417,0.4431037,0.097187564
30,2,0.20028917,0.10621546,0.3906458,0.089072585
30,3,0.18943097,0.07643905,0.33965743,0.08643483
30,4,0.19054908,0.035347126,0.26372787,0.10206574
30,5,0.2243335,0.029426655,0.29579622,0.1598222
30,6,0.28114522,0.046293985,0.4114365,0.21820849
30,7,0.38636953,0.04174227,0.45264035,0.3189288
30,8,0.38605663,0.0800773,0.4618003,0.18113875
30,9,0.2145183,0.11275346,0.4200095,0.0
41,0,0.21572877,0.06851717,0.362368,0.0
41,1,0.28314883,0.051332295,0.41291875,0.22054169
41,2,0.27089223,0.052012194,0.4013831,0.20110784
41,3,0.24352884,0.030060437,0.32717946,0.1971774
41,4,0.18371098,0.044379544,0.2677723,0.08835727
41,5,0.18939936,0.048238624,0.28002888,0.11669324
41,6,0.2019915,0.06488533,0.3317497,0.110503905
41,7,0.21782956,0.06599089,0.32695907,0.0901707
41,8,0.23356654,0.066420086,0.33048242,0.11934319
41,9,0.24435914,0.09082435,0.40228248,0.0
6,0,0.17613398,0.07684924,0.32357347,0.0
6,1,0.37982187,0.05249233,0.4992268,0.2225619
6,2,0.37908977,0.11938337,0.64082813,0.2151295
6,3,0.326564,0.13800466,0.64529425,0.15871565
6,4,0.1445407,0.033701763,0.22848675,0.09383527
6,5,0.14443928,0.037321184,0.25515288,0.09093371
6,6,0.22324704,0.09095911,0.3545035,0.07695687
6,7,0.22791797,0.08839955,0.35585043,0.083091825
6,8,0.18182747,0.0470948,0.32237697,0.11136359
6,9,0.15438886,0.074331395,0.3307275,0.0
5,0,0.19900064,0.14929742,0.5837006,0.0
5,1,0.29478857,0.054003883,0.38029113,0.18578105
5,2,0.3042656,0.06110373,0.38264662,0.18602198
5,3,0.30563426,0.10009007,0.48749444,0.12930286
5,4,0.25974807,0.102048546,0.47418174,0.12277367
5,5,0.18869637,0.040823042,0.27631357,0.10923809
5,6,0.15953709,0.047123108,0.2601055,0.097182676
5,7,0.15453048,0.036724832,0.23514396,0.09482869
5,8,0.16157526,0.029021788,0.23133007,0.1083572
5,9,0.1264562,0.06374908,0.3145762,0.0
