pole_id,height_id,kernel_8_mean,kernel_8_std,kernel_8_max,kernel_8_min
0,0,0.078281224,0.0955668,0.4849756,0.0
0,1,0.03675623,0.010136172,0.0630403,0.017910838
0,2,0.039987884,0.018337531,0.096459135,0.015753921
0,3,0.041587725,0.01652817,0.08938738,0.0131920185
0,4,0.033203285,0.011406572,0.06097779,0.015018001
0,5,0.034500394,0.016097225,0.082177624,0.014254658
0,6,0.029995317,0.010792994,0.060547546,0.011692301
0,7,0.043161944,0.024523951,0.10726324,0.01828773
0,8,0.050754935,0.037467543,0.15288334,0.015735583
0,9,0.0562603,0.052072734,0.23236024,0.0
30,0,0.069791056,0.06595652,0.3953041,0.0
30,1,0.049729206,0.02095559,0.1016776,0.017195735
30,2,0.056707844,0.02571267,0.13300921,0.015491683
30,3,0.06665012,0.025206035,0.13034892,0.017780032
30,4,0.06119222,0.029346768,0.12226118,0.016130278
30,5,0.07235441,0.033497345,0.15503126,0.023550548
30,6,0.06634529,0.032549344,0.13461939,0.016859792
30,7,0.06917799,0.031088633,0.13866767,0.0191705
30,8,0.060466785,0.026940832,0.13384476,0.014394795
30,9,0.07005642,0.038794477,0.17582388,0.0
41,0,0.07229314,0.0649365,0.30569515,0.0
41,1,0.055782776,0.030897994,0.11519937,0.01392764
41,2,0.057194117,0.03058826,0.113154,0.01254506
41,3,0.05757936,0.031383496,0.116077006,0.010714627
41,4,0.05705348,0.028890707,0.121708035,0.012125498
41,5,0.05529359,0.029932719,0.107754685,0.009199463
41,6,0.06523232,0.041593615,0.17354865,0.008885451
41,7,0.06487851,0.03707655,0.14659119,0.011409819
41,8,0.060881786,0.032338664,0.124352396,0.010650424
41,9,0.06275503,0.04100703,0.17173572,0.0
6,0,0.063510545,0.04102923,0.20602456,0.0
6,1,0.053655773,0.022255838,0.11935411,0.025377119
6,2,0.06703945,0.018213363,0.11326477,0.036037184
6,3,0.07245155,0.017323596,0.109898984,0.042384032
6,4,0.08369011,0.022516534,0.13903022,0.04369868
6,5,0.09466051,0.020887865,0.14478284,0.0518834
6,6,0.08722612,0.02077086,0.13352266,0.04265019
6,7,0.070099734,0.018158676,0.11762063,0.041148476
6,8,0.065419815,0.020163039,0.13887903,0.03427298
6,9,0.049528103,0.012454556,0.099254675,0.0
5,0,0.09114842,0.084021956,0.40184626,0.0
5,1,0.051397357,0.014941074,0.074884,0.022342667
5,2,0.05569622,0.019817717,0.090557344,0.023194239
5,3,0.06400938,0.019220898,0.10329803,0.025782267
5,4,0.07840227,0.026367197,0.14775932,0.0322064
5,5,0.09474658,0.035638217,0.17793772,0.045487076
5,6,0.0881156,0.035553653,0.15961114,0.040086053
5,7,0.08205488,0.031786114,0.18287776,0.037253905
5,8,0.07106287,0.02408461,0.120450914,0.030404119
5,9,0.06489328,0.03409009,0.13140249,0.0
