pole_id,height_id,kernel_14_mean,kernel_14_std,kernel_14_max,kernel_14_min
0,0,0.16810317,0.07218279,0.44187236,0.0
0,1,0.15027353,0.02411213,0.21373507,0.10434526
0,2,0.15353708,0.027682614,0.21582271,0.10791782
0,3,0.16563931,0.034836903,0.22579734,0.102492936
0,4,0.16044827,0.026776263,0.21162832,0.10568402
0,5,0.18607052,0.023618532,0.2678754,0.14244476
0,6,0.22221574,0.046371087,0.34371486,0.16222462
0,7,0.26384357,0.07601352,0.45513433,0.17400645
0,8,0.28414416,0.07623313,0.45397812,0.12589231
0,9,0.15741326,0.07082991,0.33547014,0.0
30,0,0.27498412,0.114554755,0.5269298,0.0
30,1,0.20992123,0.09422258,0.35888857,0.09613535
30,2,0.19024093,0.07471817,0.32688954,0.10346775
30,3,0.1838579,0.058771055,0.28387222,0.09058747
30,4,0.19076556,0.040814415,0.25307867,0.08313544
30,5,0.21073695,0.018763904,0.24831842,0.15590069
30,6,0.24526577,0.05170724,0.40431607,0.18782383
30,7,0.33439487,0.05025423,0.4215921,0.26849642
30,8,0.3379503,0.07115073,0.42828038,0.15589738
30,9,0.2101319,0.10545597,0.38585085,0.0
41,0,0.17578034,0.04404806,0.24062178,0.0
41,1,0.23844543,0.030938087,0.31154004,0.17277756
41,2,0.23320973,0.042467445,0.3279245,0.17192955
41,3,0.21247235,0.02755305,0.2569131,0.16160013
41,4,0.17470619,0.037826147,0.25109616,0.10146845
41,5,0.16718045,0.045563415,0.233201,0.085097685
41,6,0.16070709,0.042474486,0.24779987,0.08880722
41,7,0.16675732,0.040545065,0.25768402,0.077781454
41,8,0.17662421,0.05120675,0.2589481,0.06541976
41,9,0.17309807,0.061896954,0.29243958,0.0
6,0,0.15871127,0.0670867,0.28927028,0.0
6,1,0.32894036,0.051386334,0.4017389,0.17988321
6,2,0.3189534,0.09367769,0.52559394,0.1904028
6,3,0.28855386,0.1109433,0.5373669,0.1801348
6,4,0.14558846,0.038865115,0.24268779,0.084572956
6,5,0.12856156,0.033102315,0.24416189,0.08731358
6,6,0.1904295,0.07306231,0.32377878,0.07357322
6,7,0.19327806,0.074601285,0.33091283,0.0750636
6,8,0.14994587,0.03473454,0.2721714,0.102931544
6,9,0.13211644,0.05981354,0.27948824,0.0
5,0,0.15489043,0.10759102,0.5179702,0.0
5,1,0.22869954,0.07768956,0.3278557,0.07535287
5,2,0.23661003,0.08085558,0.33022678,0.0858199
5,3,0.2473011,0.1028041,0.40528297,0.06793277
5,4,0.21365821,0.104125805,0.39852276,0.063600406
5,5,0.16123143,0.051490296,0.27395102,0.081286915
5,6,0.13512385,0.0563939,0.25261757,0.061285604
5,7,0.12120643,0.021195894,0.154995,0.074730076
5,8,0.12758735,0.031311683,0.18910971,0.06450669
5,9,0.112784535,0.06189588,0.27166277,0.0
