pole_id,height_id,hyper_pca_0_mean,hyper_pca_0_std,hyper_pca_1_mean,hyper_pca_1_std,hyper_pca_2_mean,hyper_pca_2_std
0,0,-0.00070818176,0.000106599495,-0.00012477784,8.192546e-05,-0.00016587495,3.3420893e-05
0,1,-0.00069796824,0.00012807394,-0.00012459428,9.480627e-05,-0.00016536858,4.4808035e-05
0,2,-0.00054364355,0.00026980494,-8.023478e-05,6.509386e-05,-0.00018121101,6.9012676e-05
0,3,-0.00019536621,0.00049486104,-2.9141285e-05,0.000109660396,-0.00021858282,9.814002e-05
0,4,0.00069286994,0.00092159543,0.00020931606,0.00021652663,-0.00021600038,0.0001830279
0,5,0.0012001662,0.0013392031,0.0004082808,0.00024166206,-0.00025224147,0.0003018785
0,6,0.004092866,0.0032889107,2.4901647e-05,0.0006773133,-0.0004283836,0.0004918363
0,7,0.0036384594,0.0030359996,-0.00046750295,0.0011885301,-0.0002131645,0.00047508974
0,8,-0.00018266116,0.0006522439,-0.00020886831,0.00040586872,-8.154442e-05,0.00015322669
0,9,-0.00045142925,0.00037861688,-0.0002497937,0.00030106734,-7.0707436e-05,0.0001840485
30,0,-0.00079089217,3.0708437e-05,-0.00014427803,4.853238e-06,-0.00016496863,1.2137017e-05
30,1,-0.0007942608,1.0879046e-06,-0.00014498524,4.3371892e-07,-0.00016381171,2.5061544e-07
30,2,-0.00079430727,1.0634052e-07,-0.00014500518,6.845853e-08,-0.00016379789,9.8417516e-08
30,3,-0.00079011935,3.5038574e-05,-0.00014547615,6.40383e-06,-0.00016496704,9.771987e-06
30,4,-0.0007734571,9.31955e-05,-0.00014181358,3.1194242e-05,-0.00016363796,1.8596067e-05
30,5,-0.00028275256,0.0012045283,-0.00030966898,0.0005990989,-6.792917e-05,0.00038740863
30,6,-0.0007181546,0.0001279659,-0.00010737783,5.8569756e-05,-0.00014237533,2.8845781e-05
30,7,-0.0002677313,0.00070304377,6.035138e-06,0.00022698328,-4.419834e-05,0.00013699771
30,8,0.00053683226,0.0018359645,0.00044094614,0.00068601,0.00049997034,0.00061645015
30,9,0.0037591003,0.003447134,0.0016376135,0.0009767084,0.0018164101,0.0010170606
41,0,-0.0007269213,0.00010849992,-0.00013132469,2.3763178e-05,-0.00017631073,2.7272936e-05
41,1,-7.609464e-07,0.0023379258,-0.00038509248,0.0009428912,-5.564398e-05,0.0005523375
41,2,-0.00055010506,0.000875301,-0.00017337849,0.00041370833,-0.0001446873,0.00021026118
41,3,0.00012813308,0.00233739,-0.0003935634,0.0010548424,-2.22514e-05,0.0006163971
41,4,-0.00046377233,0.00032117617,-5.5966862e-05,9.169371e-05,-0.00014397032,5.236558e-05
41,5,-0.00018553105,0.00047245427,-3.037229e-07,0.00016713714,-0.0001221305,8.413863e-05
41,6,-0.00011838844,0.00061867095,0.00010000072,0.00025738747,6.016602e-05,0.0001964269
41,7,0.0005731731,0.0009833737,0.00022503755,0.00029311102,0.00046649002,0.00043971883
41,8,0.002040833,0.0013629057,0.0006116628,0.00044638364,0.0012602038,0.0005201939
41,9,0.0042242454,0.0021934789,0.0011164994,0.00078248803,0.0024237146,0.00075196585
6,0,-0.0007878787,2.2775868e-05,-0.00014223729,9.098528e-06,-0.00016583163,7.896262e-06
6,1,-0.0007702231,6.377741e-05,-0.00013573813,1.9452908e-05,-0.0001706642,2.2932718e-05
6,2,-0.00076446176,8.438327e-05,-0.00013338264,2.6332476e-05,-0.00017130938,2.9285466e-05
6,3,-0.00072595506,0.0001719819,-0.00011829227,4.9104765e-05,-0.00017914646,5.3004278e-05
6,4,-0.00022879141,0.0006526054,5.6033583e-05,0.00021238918,-0.00027442537,0.00015426171
6,5,-0.00022335417,0.0006159281,8.428989e-05,0.0002146319,-0.0002360396,0.00013959048
6,6,-0.0006049643,0.00028859059,-7.791258e-05,7.64835e-05,-0.00014377963,5.674643e-05
6,7,-0.00063483766,0.00015910047,-7.82177e-05,6.178408e-05,-0.00012092309,4.6806148e-05
6,8,-0.00043366742,0.0004746155,-5.9373975e-05,0.00018009277,-4.4129723e-05,0.0001827397
6,9,-0.00023572115,0.0005661765,-9.545766e-05,0.00016128375,6.153181e-05,0.0002108805
5,0,-0.0007561895,9.513552e-05,-0.00012721783,4.126856e-05,-0.00016768306,2.0240977e-05
5,1,-0.00069254055,0.00013515621,-9.6560216e-05,5.6617628e-05,-0.00017171781,3.5081695e-05
5,2,-0.0005042277,0.00030695056,-1.7605757e-05,0.00011978762,-0.00018287006,5.355864e-05
5,3,-0.00036498558,0.00041922153,-7.0061233e-06,0.00012641102,-0.00022504818,9.945936e-05
5,4,-0.00026513907,0.0004917074,9.4674084e-05,0.00019760098,-0.00015275607,9.608734e-05
5,5,-0.00058487547,0.00030695196,-4.4959997e-05,0.00012301025,-0.0001315571,5.0769202e-05
5,6,-0.0005666914,0.00027840276,-2.402158e-05,0.00015276279,-7.7485405e-05,0.00013806875
5,7,-0.0006110321,0.00017049827,-6.670136e-05,7.723327e-05,-0.00010102103,6.932965e-05
5,8,-0.0006018091,0.00021678413,-0.0001430134,6.3464075e-05,-0.00014588262,3.237149e-05
5,9,-0.00062500057,0.00020651339,-0.00013894426,6.370913e-05,-0.0001507854,3.3532222e-05
