pole_id,height_id,kernel_9_mean,kernel_9_std,kernel_9_max,kernel_9_min
0,0,0.18472447,0.063422896,0.4263695,0.0
0,1,0.15980992,0.031350855,0.20807046,0.09045519
0,2,0.16398342,0.021446176,0.20017166,0.10966912
0,3,0.18709606,0.047769617,0.2718766,0.10068641
0,4,0.18693703,0.037458763,0.26703805,0.12916866
0,5,0.21442741,0.025073009,0.26096502,0.1643225
0,6,0.2498038,0.02881544,0.31458706,0.20377326
0,7,0.2885104,0.04450663,0.41515464,0.21379468
0,8,0.31001273,0.04606504,0.4120729,0.15045907
0,9,0.19490227,0.06780187,0.3328727,0.0
30,0,0.30286825,0.13104562,0.57500875,0.0
30,1,0.23035242,0.11064304,0.41679496,0.09981117
30,2,0.20986529,0.09073726,0.38653988,0.108655035
30,3,0.20056672,0.06387735,0.3349744,0.10573375
30,4,0.20257297,0.035228472,0.25118655,0.10203696
30,5,0.23288338,0.024742866,0.28241262,0.17315482
30,6,0.26739928,0.048653204,0.41516882,0.19893724
30,7,0.3596296,0.044590946,0.43299785,0.2849881
30,8,0.3643209,0.07305311,0.44156057,0.15939142
30,9,0.24457528,0.1048493,0.4180547,0.0
41,0,0.20723335,0.047542013,0.31345272,0.0
41,1,0.27385503,0.045035284,0.39081013,0.19360206
41,2,0.26688966,0.049793344,0.38278818,0.19389062
41,3,0.24540876,0.030376893,0.32514113,0.17362623
41,4,0.20082714,0.036278725,0.27746552,0.12857305
41,5,0.20434552,0.046202302,0.29649156,0.113592945
41,6,0.20120676,0.053723752,0.30469814,0.12400844
41,7,0.20711155,0.050787393,0.29349625,0.09304767
41,8,0.21904178,0.059238203,0.31981614,0.1014364
41,9,0.21085384,0.06373465,0.31275648,0.0
6,0,0.17378679,0.06570355,0.29527965,0.0
6,1,0.33818018,0.050966945,0.42874083,0.18720916
6,2,0.32556945,0.08820756,0.52191955,0.1991433
6,3,0.29857332,0.107225984,0.54026866,0.18481138
6,4,0.16407488,0.038479336,0.2571107,0.10271404
6,5,0.14363995,0.03657862,0.27148637,0.092602484
6,6,0.20463154,0.07523711,0.3424524,0.0824359
6,7,0.20627394,0.07882901,0.35486805,0.08525879
6,8,0.16271535,0.037199367,0.3028954,0.11741066
6,9,0.15110457,0.06021628,0.3130644,0.0
5,0,0.17054653,0.11569466,0.63985056,0.0
5,1,0.23945406,0.09360742,0.35822898,0.061353225
5,2,0.24787404,0.09670229,0.3632633,0.073718734
5,3,0.2615959,0.11725727,0.43614155,0.06232066
5,4,0.23254478,0.11930016,0.42575732,0.055715688
5,5,0.18201366,0.069346115,0.31953448,0.08050459
5,6,0.14875247,0.06913401,0.29318655,0.06503662
5,7,0.13086809,0.0309528,0.18539189,0.07788404
5,8,0.14285845,0.044974934,0.22314842,0.061464276
5,9,0.13164988,0.07013885,0.29557317,0.0
