pole_id,height_id,kernel_4_mean,kernel_4_std,kernel_4_max,kernel_4_min
0,0,0.10652955,0.03160018,0.18019874,0.0
0,1,0.09705921,0.016802134,0.13372236,0.05835364
0,2,0.101994745,0.019816052,0.14778477,0.059059545
0,3,0.11698805,0.029234566,0.2006785,0.07339747
0,4,0.085032485,0.02553109,0.15642324,0.034404494
0,5,0.08854767,0.02617463,0.14819175,0.04528975
0,6,0.09974712,0.033878513,0.22532502,0.055604767
0,7,0.11450244,0.02633564,0.17962332,0.063433796
0,8,0.12396186,0.037749782,0.2335509,0.048505556
0,9,0.102450065,0.03824671,0.19683863,0.0
30,0,0.08330117,0.025934305,0.14574976,0.0
30,1,0.10181673,0.035462573,0.1977469,0.043665882
30,2,0.112778075,0.022013389,0.17066514,0.07315619
30,3,0.12141739,0.022860032,0.17799865,0.07423821
30,4,0.13893376,0.038505767,0.22167648,0.07078545
30,5,0.14416067,0.029657211,0.2111478,0.089751795
30,6,0.1327856,0.028952882,0.18819511,0.06112154
30,7,0.13048871,0.028858135,0.19337645,0.07240635
30,8,0.1382276,0.03777924,0.26786673,0.08284654
30,9,0.132954,0.05054499,0.28144288,0.0
41,0,0.11713047,0.037555933,0.224561,0.0
41,1,0.13675174,0.03313889,0.22156098,0.06769965
41,2,0.16093302,0.06003545,0.29658708,0.07249811
41,3,0.13385512,0.04508164,0.23934971,0.04877599
41,4,0.12872314,0.058777418,0.25059497,0.050079606
41,5,0.122467525,0.035470158,0.20462684,0.057461232
41,6,0.12847139,0.034496296,0.21157657,0.0688062
41,7,0.13772085,0.055406746,0.24642748,0.046956155
41,8,0.13687754,0.04993389,0.22118087,0.046413273
41,9,0.11414175,0.073379315,0.3349657,0.0
6,0,0.09544969,0.03795133,0.23284319,0.0
6,1,0.12901488,0.029899782,0.2012631,0.058941595
6,2,0.113492414,0.026634892,0.15588056,0.058558702
6,3,0.110187635,0.021186683,0.15623939,0.067158304
6,4,0.123088814,0.021845179,0.1695762,0.07465193
6,5,0.12667249,0.034821674,0.20976812,0.067675255
6,6,0.09464922,0.01997181,0.14513083,0.051215798
6,7,0.090642355,0.02975998,0.15254027,0.042223457
6,8,0.08638306,0.025914216,0.1549953,0.04459076
6,9,0.0701214,0.023484046,0.12690715,0.0
5,0,0.06986308,0.027694441,0.12618646,0.0
5,1,0.06490449,0.024457913,0.122038804,0.027696967
5,2,0.064817145,0.030926328,0.14762636,0.02715411
5,3,0.07281885,0.03553035,0.15287241,0.035012502
5,4,0.08729351,0.054999977,0.25457913,0.031436846
5,5,0.09754376,0.040583678,0.18610568,0.036296774
5,6,0.08932457,0.048543673,0.24342023,0.027399879
5,7,0.07414749,0.034037195,0.16982192,0.028870564
5,8,0.078815006,0.03695324,0.16240282,0.0233027
5,9,0.07686175,0.035552166,0.1451943,0.0
